Water Polo Men's Water Polo,Water Polo
Shooting Women's Trap,Shooting
Rowing Men's Double Sculls,Rowing
Athletics Men's Javelin Throw,Athletics
"Shooting Men's Trap, Single Shot, 16 metres",Shooting
"Wrestling Men's Featherweight, Freestyle",Wrestling
"Wrestling Men's Middleweight, Freestyle",Wrestling
"Canoeing Women's Kayak Doubles, 500 metres",Canoeing
Biathlon Women's 7.5 kilometres Sprint,Biathlon
Cycling Men's 1/2 mile,Cycling
"Art Competitions Mixed Architecture, Architectural Designs",Art Competitions
"Athletics Men's 5,000 metres",Athletics
Freestyle Skiing Women's Moguls,Freestyle Skiing
"Archery Men's Au Cordon Dore, 33 metres",Archery
Weightlifting Women's Lightweight,Weightlifting
Shooting Men's Trap,Shooting
Table Tennis Men's Team,Table Tennis
Shooting Women's Double Trap,Shooting
Cross Country Skiing Men's 10/15 kilometres Pursuit,Cross Country Skiing
Taekwondo Men's Welterweight,Taekwondo
Sailing Mixed 12 metres,Sailing
Weightlifting Men's Lightweight,Weightlifting
Rowing Men's Lightweight Coxless Fours,Rowing
"Athletics Women's 3,000 metres",Athletics
Rhythmic Gymnastics Women's Group,Rhythmic Gymnastics
Cross Country Skiing Women's Sprint,Cross Country Skiing
Equestrianism Mixed High Jump,Equestrianism
"Shooting Men's Small-Bore Rifle, Any Position, 50 metres",Shooting
Snowboarding Men's Giant Slalom,Snowboarding
Taekwondo Men's Heavyweight,Taekwondo
Cycling Men's 1/3 mile,Cycling
Rowing Men's 17-Man Naval Rowing Boats,Rowing
"Fencing Men's epee, Masters, Individual",Fencing
Badminton Men's Doubles,Badminton
Swimming Men's 100 metres Backstroke,Swimming
Athletics Men's Decathlon,Athletics
Motorboating Mixed B-Class (Under 60 Feet),Motorboating
"Canoeing Men's Canadian Singles, 1,000 metres",Canoeing
"Fencing Men's Foil, Individual",Fencing
Swimming Women's 4 x 200 metres Freestyle Relay,Swimming
Archery Men's Continental Style,Archery
"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Shooting
"Shooting Men's Military Pistol, 25 metres",Shooting
"Athletics Women's 3,000 metres Steeplechase",Athletics
Boxing Men's Light-Flyweight,Boxing
Cross Country Skiing Men's 30 kilometres,Cross Country Skiing
"Wrestling Men's Welterweight, Freestyle",Wrestling
"Nordic Combined Men's Normal Hill / 10 km, Individual",Nordic Combined
Athletics Women's Heptathlon,Athletics
"Canoeing Men's Canadian Singles, 500 metres",Canoeing
Swimming Men's 200 metres Freestyle,Swimming
Athletics Men's 4 x 400 metres Relay,Athletics
"Swimming Men's 1,200 metres Freestyle",Swimming
"Archery Men's Pole Archery, Small Birds, Team",Archery
"Ski Jumping Men's Large Hill, Individual",Ski Jumping
Rugby Men's Rugby,Rugby
Boxing Men's Light-Middleweight,Boxing
Athletics Men's Standing High Jump,Athletics
Athletics Men's Pentathlon (Ancient),Athletics
"Canoeing Men's Folding Kayak Doubles, 10 kilometres",Canoeing
Weightlifting Men's Bantamweight,Weightlifting
Gymnastics Men's Pommelled Horse,Gymnastics
Swimming Women's 200 metres Butterfly,Swimming
Badminton Women's Singles,Badminton
"Shooting Men's Trap, Team",Shooting
"Cycling Men's Road Race, Team",Cycling
"Fencing Men's epee, Team",Fencing
Rowing Women's Lightweight Double Sculls,Rowing
Sailing Mixed 20+ Ton,Sailing
Sailing Men's Skiff,Sailing
"Short Track Speed Skating Men's 5,000 metres Relay",Short Track Speed Skating
Snowboarding Men's Slopestyle,Snowboarding
Diving Women's Plain High,Diving
"Shooting Men's Free Pistol, 50 yards, Team",Shooting
Athletics Men's Hammer Throw,Athletics
Sailing Mixed 8 metres,Sailing
Snowboarding Women's Parallel Giant Slalom,Snowboarding
Football Men's Football,Football
"Short Track Speed Skating Women's 3,000 metres Relay",Short Track Speed Skating
Cross Country Skiing Men's Team Sprint,Cross Country Skiing
"Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards",Shooting
"Athletics Men's 4,000 metres Steeplechase",Athletics
Diving Men's Springboard,Diving
"Art Competitions Mixed Literature, Unknown Event",Art Competitions
Racquets Men's Singles,Racquets
Sailing Men's One Person Dinghy,Sailing
"Tennis Women's Singles, Covered Courts",Tennis
"Weightlifting Men's Unlimited, Two Hands",Weightlifting
Luge Women's Singles,Luge
Swimming Men's 50 metres Freestyle,Swimming
"Speed Skating Men's 1,000 metres",Speed Skating
Freestyle Skiing Women's Ski Cross,Freestyle Skiing
"Gymnastics Men's Individual All-Around, 4 Events",Gymnastics
Weightlifting Men's Super-Heavyweight,Weightlifting
Luge Men's Singles,Luge
"Wrestling Women's Lightweight, Freestyle",Wrestling
"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards",Shooting
"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Shooting
Swimming Women's 4 x 100 metres Medley Relay,Swimming
"Archery Men's Target Archery, 50 metres, Individual",Archery
Biathlon Women's 10 kilometres Pursuit,Biathlon
Judo Women's Heavyweight,Judo
Art Competitions Mixed Architecture,Art Competitions
Archery Men's Sur La Perche a La Pyramide,Archery
Biathlon Women's 4 x 6 kilometres Relay,Biathlon
Swimming Men's 100 metres Breaststroke,Swimming
Snowboarding Women's Halfpipe,Snowboarding
Basque Pelota Men's Two-Man Teams With Cesta,Basque Pelota
Archery Men's Unknown Event,Archery
"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres",Shooting
"Art Competitions Mixed Architecture, Designs For Town Planning",Art Competitions
Art Competitions Mixed Sculpturing,Art Competitions
Diving Women's Synchronized Platform,Diving
Sailing Mixed 0.5-1 Ton,Sailing
Cycling Men's 2 mile,Cycling
Water Polo Women's Water Polo,Water Polo
"Wrestling Men's Bantamweight, Freestyle",Wrestling
Biathlon Women's 12.5 kilometres Mass Start,Biathlon
Athletics Men's 200 metres,Athletics
"Equestrianism Mixed Dressage, Individual",Equestrianism
"Athletics Men's 3,500 metres Walk",Athletics
Sailing Mixed Two Person Heavyweight Dinghy,Sailing
"Athletics Men's 1,500 metres",Athletics
"Canoeing Men's Canadian Doubles, 500 metres",Canoeing
Sailing Mixed 6 metres,Sailing
"Shooting Men's Free Rifle, Kneeling, 300 metres",Shooting
Badminton Women's Doubles,Badminton
"Fencing Women's Foil, Team",Fencing
"Shooting Men's Military Rifle, Prone, 600 metres, Team",Shooting
"Wrestling Men's Super-Heavyweight, Greco-Roman",Wrestling
Athletics Women's 20 kilometres Walk,Athletics
Athletics Women's Marathon,Athletics
Gymnastics Men's Side Horse,Gymnastics
"Croquet Mixed Singles, Two Balls",Croquet
Rowing Men's Coxed Fours,Rowing
"Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team",Shooting
Athletics Men's 400 metres,Athletics
Boxing Men's Flyweight,Boxing
"Wrestling Women's Light-Heavyweight, Freestyle",Wrestling
"Archery Men's Au Chapelet, 33 metres",Archery
Boxing Men's Bantamweight,Boxing
"Athletics Women's 5,000 metres",Athletics
Gymnastics Men's Horizontal Bar,Gymnastics
"Equestrianism Mixed Jumping, Individual",Equestrianism
Freestyle Skiing Women's Halfpipe,Freestyle Skiing
"Canoeing Women's Kayak Singles, 200 metres",Canoeing
Cross Country Skiing Men's 4 x 10 kilometres Relay,Cross Country Skiing
"Fencing Men's Sabre, Individual, Three Hits",Fencing
"Croquet Mixed Singles, One Ball",Croquet
Figure Skating Mixed Pairs,Figure Skating
Cycling Men's 50 kilometres,Cycling
"Canoeing Men's Kayak Doubles, 500 metres",Canoeing
Archery Men's Championnat Du Monde,Archery
"Equestrianism Mixed Jumping, Team",Equestrianism
Judo Men's Half-Middleweight,Judo
Athletics Men's 400 metres Hurdles,Athletics
Judo Men's Heavyweight,Judo
Swimming Women's 400 metres Individual Medley,Swimming
Swimming Men's 200 metres Obstacle Course,Swimming
"Cycling Men's Mountainbike, Cross-Country",Cycling
"Wrestling Men's Flyweight, Freestyle",Wrestling
Snowboarding Men's Parallel Slalom,Snowboarding
Motorboating Mixed A-Class (Open),Motorboating
Golf Men's Team,Golf
"Art Competitions Mixed Sculpturing, Medals And Plaques",Art Competitions
"Archery Men's Au Cordon Dore, 50 metres",Archery
"Archery Men's Pole Archery, Large Birds, Individual",Archery
"Equestrianism Mixed Dressage, Team",Equestrianism
Gymnastics Women's Individual All-Around,Gymnastics
"Wrestling Men's Bantamweight, Greco-Roman",Wrestling
"Shooting Men's Running Target, Double Shot",Shooting
Alpine Skiing Women's Combined,Alpine Skiing
"Art Competitions Mixed Painting, Drawings And Water Colors",Art Competitions
Gymnastics Men's Team All-Around,Gymnastics
"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Shooting
"Art Competitions Mixed Sculpturing, Medals And Reliefs",Art Competitions
Athletics Women's 4 x 100 metres Relay,Athletics
Sailing Women's Three Person Keelboat,Sailing
Snowboarding Men's Halfpipe,Snowboarding
Cross Country Skiing Men's 10/10 kilometres Pursuit,Cross Country Skiing
Sailing Mixed 0-0.5 Ton,Sailing
Archery Men's Sur La Perche a La Herse,Archery
"Shooting Men's Military Pistol, 30 metres",Shooting
"Ski Jumping Men's Large Hill, Team",Ski Jumping
"Equestrianism Mixed Three-Day Event, Individual",Equestrianism
"Shooting Women's Sporting Pistol, 25 metres",Shooting
Athletics Men's 60 metres,Athletics
"Wrestling Men's Light-Flyweight, Greco-Roman",Wrestling
Cycling Men's 100 kilometres Team Time Trial,Cycling
Swimming Men's Underwater Swimming,Swimming
Art Competitions Mixed Music,Art Competitions
Biathlon Women's 3 x 7.5 kilometres Relay,Biathlon
Judo Women's Extra-Lightweight,Judo
Weightlifting Men's Heavyweight I,Weightlifting
Judo Men's Middleweight,Judo
Tennis Men's Doubles,Tennis
Sailing Mixed Two Person Dinghy,Sailing
"Gymnastics Men's Individual All-Around, Apparatus Work",Gymnastics
Swimming Men's 500 metres Freestyle,Swimming
"Short Track Speed Skating Women's 1,500 metres",Short Track Speed Skating
Athletics Women's Pentathlon,Athletics
Skeleton Women's Skeleton,Skeleton
Alpine Skiing Women's Slalom,Alpine Skiing
"Athletics Men's 10,000 metres",Athletics
"Shooting Men's Free Pistol, 30 metres",Shooting
Boxing Men's Heavyweight,Boxing
Athletics Women's 100 metres Hurdles,Athletics
Cycling Men's 333 metres Time Trial,Cycling
Figure Skating Women's Singles,Figure Skating
Rowing Men's Coxed Pairs (1 mile),Rowing
Cycling Women's Omnium,Cycling
Alpine Skiing Men's Slalom,Alpine Skiing
Alpine Skiing Women's Downhill,Alpine Skiing
Synchronized Swimming Women's Team,Synchronized Swimming
Athletics Men's Long Jump,Athletics
Jeu De Paume Men's Singles,Jeu De Paume
Archery Women's Team,Archery
Handball Women's Handball,Handball
"Fencing Women's Sabre, Team",Fencing
"Shooting Men's Free Rifle, Any Position, 300 metres",Shooting
Sailing Women's Skiff,Sailing
Cycling Men's 20 kilometres,Cycling
Athletics Women's Discus Throw,Athletics
Rowing Men's Coxed Pairs (1 kilometres),Rowing
"Athletics Women's 1,500 metres",Athletics
"Gymnastics Men's Team All-Around, Free System",Gymnastics
"Fencing Men's Sabre, Individual",Fencing
Athletics Men's 56-pound Weight Throw,Athletics
Athletics Women's Pole Vault,Athletics
"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres, Team",Shooting
"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",Shooting
Sailing Women's One Person Dinghy,Sailing
Basketball Women's Basketball,Basketball
"Shooting Men's Air Pistol, 10 metres",Shooting
Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,Biathlon
Triathlon Men's Olympic Distance,Triathlon
Trampolining Men's Individual,Trampolining
"Cycling Men's 10,000 metres",Cycling
"Athletics Men's 3,000 metres Steeplechase",Athletics
"Art Competitions Mixed Literature, Lyric Works",Art Competitions
Bobsleigh Men's Two,Bobsleigh
Equestrianism Mixed Long Jump,Equestrianism
"Wrestling Men's Featherweight, Greco-Roman",Wrestling
Boxing Women's Flyweight,Boxing
"Canoeing Men's Kayak Singles, 200 metres",Canoeing
Weightlifting Men's Featherweight,Weightlifting
"Nordic Combined Men's Large Hill / 10 km, Individual",Nordic Combined
Gymnastics Men's Floor Exercise,Gymnastics
Cycling Women's Keirin,Cycling
"Athletics Men's 3 mile, Team",Athletics
"Archery Men's Target Archery, 50 metres, Team",Archery
"Fencing Women's epee, Individual",Fencing
"Gymnastics Men's Individual All-Around, 5 Events",Gymnastics
Cross Country Skiing Women's 5/10 kilometres Pursuit,Cross Country Skiing
Hockey Men's Hockey,Hockey
Motorboating Mixed C-Class,Motorboating
Shooting Men's Dueling Pistol Au Vise 20 metres,Shooting
"Tennis Mixed Doubles, Covered Courts",Tennis
"Equestrianism Men's Jumping, Team",Equestrianism
Athletics Women's 200 metres,Athletics
Shooting Mixed Skeet,Shooting
"Equestrianism Men's Dressage, Individual",Equestrianism
"Shooting Men's Running Target, Double Shot, Team",Shooting
Bobsleigh Men's Four/Five,Bobsleigh
Sailing Mixed Three Person Keelboat,Sailing
Gymnastics Women's Horse Vault,Gymnastics
Canoeing Men's Kayak Relay 4 x 500 metres,Canoeing
Gymnastics Men's Rings,Gymnastics
Swimming Women's 200 metres Freestyle,Swimming
"Shooting Men's Free Rifle, Standing, 300 metres",Shooting
"Canoeing Men's Canadian Doubles, 1,000 metres",Canoeing
"Athletics Men's Javelin Throw, Both Hands",Athletics
"Swimming Men's 1,000 metres Freestyle",Swimming
"Shooting Men's Military Pistol, Team",Shooting
"Canoeing Men's Canadian Doubles, Slalom",Canoeing
Cross Country Skiing Men's 30 km Skiathlon,Cross Country Skiing
Rowing Women's Coxless Pairs,Rowing
Sailing Men's Windsurfer,Sailing
"Shooting Women's Air Rifle, 10 metres",Shooting
"Short Track Speed Skating Women's 1,000 metres",Short Track Speed Skating
Equestrianism Mixed Hacks And Hunter Combined,Equestrianism
Shooting Women's Skeet,Shooting
"Fencing Men's Sabre, Team",Fencing
Cross Country Skiing Women's 5 kilometres,Cross Country Skiing
Badminton Mixed Doubles,Badminton
Athletics Women's 400 metres,Athletics
Rowing Women's Single Sculls,Rowing
Rowing Men's Lightweight Double Sculls,Rowing
Swimming Men's 4 x 100 metres Freestyle Relay,Swimming
Rugby Sevens Women's Rugby Sevens,Rugby Sevens
Sailing Mixed Skiff,Sailing
Boxing Men's Lightweight,Boxing
Swimming Men's 4 x 200 metres Freestyle Relay,Swimming
"Athletics Men's Shot Put, Both Hands",Athletics
"Archery Men's Target Archery, 28 metres, Individual",Archery
Croquet Mixed Doubles,Croquet
Weightlifting Men's All-Around Dumbbell Contest,Weightlifting
Swimming Men's 10 kilometres Open Water,Swimming
Athletics Women's Long Jump,Athletics
Cycling Women's Sprint,Cycling
Sailing Mixed 7 metres,Sailing
Sailing Mixed 5.5 metres,Sailing
"Canoeing Men's Kayak Doubles, 1,000 metres",Canoeing
Sailing Mixed 12 foot,Sailing
Rowing Men's Coxed Pairs,Rowing
Military Ski Patrol Men's Military Ski Patrol,Military Ski Patrol
Cycling Men's Omnium,Cycling
Judo Women's Lightweight,Judo
Swimming Men's 220 yard Freestyle,Swimming
"Rowing Men's Coxed Fours, Outriggers",Rowing
Cycling Men's 25 mile,Cycling
Athletics Men's 20 kilometres Walk,Athletics
Biathlon Men's 10 kilometres Sprint,Biathlon
Boxing Women's Middleweight,Boxing
Athletics Men's 4 x 100 metres Relay,Athletics
Rowing Women's Coxed Eights,Rowing
Weightlifting Women's Featherweight,Weightlifting
"Wrestling Men's Lightweight, Freestyle",Wrestling
"Gymnastics Men's Parallel Bars, Teams",Gymnastics
"Speed Skating Men's 10,000 metres",Speed Skating
"Fencing Women's Foil, Individual",Fencing
Handball Men's Handball,Handball
Cross Country Skiing Women's 4 x 5 kilometres Relay,Cross Country Skiing
"Shooting Men's Free Rifle, Three Positions, 300 metres",Shooting
Snowboarding Men's Boardercross,Snowboarding
"Shooting Mixed Free Rifle, Three Positions, 300 metres",Shooting
Rowing Women's Coxless Fours,Rowing
Swimming Men's 400 metres Individual Medley,Swimming
Skeleton Men's Skeleton,Skeleton
Sailing Mixed 3-10 Ton,Sailing
"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",Shooting
"Art Competitions Mixed Painting, Unknown Event",Art Competitions
"Fencing Men's epee, Masters and Amateurs, Individual",Fencing
Speed Skating Women's Team Pursuit (6 laps),Speed Skating
"Cycling Men's Road Race, Individual",Cycling
"Wrestling Men's Light-Flyweight, Freestyle",Wrestling
Cycling Women's 500 metres Time Trial,Cycling
Athletics Men's 100 metres,Athletics
Figure Skating Mixed Team,Figure Skating
"Wrestling Men's Light-Heavyweight, Freestyle",Wrestling
Table Tennis Women's Team,Table Tennis
Swimming Men's Plunge For Distance,Swimming
"Canoeing Men's Kayak Singles, 1,000 metres",Canoeing
Sailing Mixed Windsurfer,Sailing
Gymnastics Women's Team Portable Apparatus,Gymnastics
Cycling Women's BMX,Cycling
Gymnastics Women's Team All-Around,Gymnastics
Alpine Skiing Men's Downhill,Alpine Skiing
"Shooting Men's Military Revolver, 1873-1874 Gras Model, 20 metres",Shooting
Cross Country Skiing Men's 10 kilometres,Cross Country Skiing
Alpinism Mixed Alpinism,Alpinism
"Shooting Mixed Running Target, 50 metres",Shooting
Swimming Men's 200 metres Breaststroke,Swimming
"Art Competitions Mixed Sculpturing, Reliefs",Art Competitions
Sailing Mixed 30 metres,Sailing
Swimming Women's 400 metres Freestyle,Swimming
"Athletics Men's 3,000 metres, Team",Athletics
Synchronized Swimming Women's Solo,Synchronized Swimming
Bobsleigh Men's Four,Bobsleigh
Swimming Men's 50 yard Freestyle,Swimming
"Canoeing Women's Kayak Singles, Slalom",Canoeing
Nordic Combined Men's Individual,Nordic Combined
"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team",Shooting
"Shooting Men's Military Rifle, Kneeling Or Standing, 300 metres",Shooting
Taekwondo Women's Flyweight,Taekwondo
Biathlon Men's 4 x 7.5 kilometres Relay,Biathlon
Athletics Men's Standing Long Jump,Athletics
Swimming Women's 800 metres Freestyle,Swimming
"Swimming Men's 1,500 metres Freestyle",Swimming
"Athletics Men's 3,000 metres Walk",Athletics
Snowboarding Men's Parallel Giant Slalom,Snowboarding
Athletics Men's Pentathlon,Athletics
"Gymnastics Men's Horizontal Bar, Teams",Gymnastics
"Cycling Men's Individual Pursuit, 4,000 metres",Cycling
Shooting Men's Unknown Event,Shooting
Swimming Women's 200 metres Breaststroke,Swimming
"Athletics Men's 5,000 metres, Team",Athletics
Rowing Women's Coxed Fours,Rowing
"Equestrianism Mixed Three-Day Event, Team",Equestrianism
"Fencing Men's Sabre, Masters, Individual",Fencing
"Athletics Men's 2,590 metres Steeplechase",Athletics
