2014,Winter,Sochi
1952,Winter,Oslo
2012,Summer,London
1976,Summer,Montreal
1928,Winter,Sankt Moritz
1896,Summer,Athina
1972,Winter,Sapporo
2002,Winter,Salt Lake City
1912,Summer,Stockholm
1994,Winter,Lillehammer
1998,Winter,Nagano
1976,Winter,Innsbruck
1904,Summer,St. Louis
1948,Summer,London
1996,Summer,Atlanta
1972,Summer,Munich
1924,Summer,Paris
1948,Winter,Sankt Moritz
1988,Winter,Calgary
1956,Winter,Cortina d'Ampezzo
1928,Summer,Amsterdam
1906,Summer,Athina
1932,Winter,Lake Placid
1960,Winter,Squaw Valley
1980,Winter,Lake Placid
2010,Winter,Vancouver
1988,Summer,Seoul
1980,Summer,Moskva
1968,Winter,Grenoble
1932,Summer,Los Angeles
2008,Summer,Beijing
1984,Summer,Los Angeles
2004,Summer,Athina
1924,Winter,Chamonix
1960,Summer,Roma
1964,Summer,Tokyo
1936,Winter,Garmisch-Partenkirchen
2000,Summer,Sydney
1952,Summer,Helsinki
1968,Summer,Mexico City
1908,Summer,London
1956,Summer,Stockholm
1992,Winter,Albertville
1984,Winter,Sarajevo
1920,Summer,Antwerpen
1900,Summer,Paris
1964,Winter,Innsbruck
1956,Summer,Melbourne
1992,Summer,Barcelona
2016,Summer,Rio de Janeiro
1936,Summer,Berlin
2006,Winter,Torino